Locus Tag	Product	Pathway Name	Pathway Xref	Pathway Database	Pathway Version	ECO code	ECO term	PMID
PALES_08471	homoprotocatechuate 2,3-dioxygenase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_08481	5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_08491	putative 4-hydroxyphenylacetate degradation bifunctional isomerase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_08501	putative 4-hydroxyphenylacetate degradation bifunctional isomerase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_08841	4-hydroxyphenylacetate 3-monooxygenase small chain	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_08851	4-hydroxyphenylacetate 3-monooxygenase large chain	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_33571	putative 5-carboxymethyl-2-hydroxymuconate isomerase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_16871	ATP-binding component of phosphonate transport	5-phospho-alpha-D-ribose 1-diphosphate biosynthesis	UPA00087	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_50561	ribose-phosphate pyrophosphokinase	5-phospho-alpha-D-ribose 1-diphosphate biosynthesis	UPA00087	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_12181	hypothetical protein	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_16231	GTP cyclohydrolase I	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_36531	GTP cyclohydrolase I	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_48241	hypothetical protein	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_59351	putative GTP cyclohydrolase	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_43381	hypothetical protein	7-cyano-7-deazaguanine biosynthesis	UPA00391	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_43391	putative radical activating enzyme	7-cyano-7-deazaguanine biosynthesis	UPA00391	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_07781	putative acetoin catabolism protein	acetoin degradation	UPA00040	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_44821	acetate kinase	acetyl-CoA biosynthesis	UPA00340	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_44831	phosphate acetyltransferase	acetyl-CoA biosynthesis	UPA00340	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_33121	hydroxymethylglutaryl-CoA lyase	Acyclic isoprenoid and branched-chain amino acids catabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_33081	putative isovaleryl-CoA dehydrogenase	Acyclic isoprenoid catabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_33091	methylcrotonyl-CoA carboxylase, beta-subunit	Acyclic isoprenoid catabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_33101	gamma-carboxygeranoyl-CoA hydratase	Acyclic isoprenoid catabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_33111	methylcrotonyl-CoA carboxylase, alpha-subunit (biotin-containing)	Acyclic isoprenoid catabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_05071	putative uroporphyrin-III c-methyltransferase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_18231	cell division inhibitor MinD	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_21151	precorrin-3 methylase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_21181	putative cobalamin biosynthesis protein cobW	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_21561	cobalt-precorrin-6A synthase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_21571	precorrin-6y-dependent methyltransferase CobL	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_21611	precorrin-3 methylase CobJ	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_24941	siroheme synthase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_27081	Cobyrinic acid a,c-diamide synthase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_35511	uroporphyrin-III C-methyltransferase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_39511	putative plasmid partitioning protein	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_39591	flagellar synthesis regulator FleN	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_40311	cobalamin synthase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_40341	adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_40351	cobyric acid synthase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_40361	threonine-phosphate decarboxylase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_40371	cobalamin biosynthesis protein	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_40391	cobyrinic acid a,c-diamide synthase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_40401	cob(I)yrinic acid a,c-diamide adenosyltransferase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_47781	putative cob(I)alamin adenosyltransferase	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_49151	hypothetical protein	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_54181	putative ATPase nvolved in chromosome partitioning	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_59591	chromosome partitioning protein Soj	adenosylcobalamin biosynthesis	UPA00148	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_17271	ADP-L-glycero-D-mannoheptose 6-epimerase	ADP-L-glycero-beta-D-manno-heptose biosynthesis	UPA00356	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_53851	bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	ADP-L-glycero-beta-D-manno-heptose biosynthesis	UPA00356	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_02061	malonate decarboxylase subunit beta	Aflatoxin biosynthesis	00254	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_13961	acetyl-CoA carboxylase carboxyltransferase subunit alpha	Aflatoxin biosynthesis	00254	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_19481	acetyl-CoA carboxylase subunit beta	Aflatoxin biosynthesis	00254	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_21761	geranyl-CoA carboxylase, beta-subunit	Aflatoxin biosynthesis	00254	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_33091	methylcrotonyl-CoA carboxylase, beta-subunit	Aflatoxin biosynthesis	00254	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_40131	putative pyruvate carboxylase	Aflatoxin biosynthesis	00254	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_02621	4-aminobutyrate aminotransferase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_04001	aspartate carbamoyltransferase catalytic subunit	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_15081	argininosuccinate synthase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_24761	adenylosuccinate lyase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_30511	L-asparaginase I	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_38441	glutaminase-asparaginase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_45821	L-aspartate oxidase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_51161	aspartate alpha-decarboxylase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_53161	biosynthetic alanine racemase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_53241	adenylosuccinate synthetase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_53641	Arginine:Pyruvate Transaminas, AruH	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_56571	argininosuccinate lyase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_56971	alanine racemase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_58241	aspartate ammonia-lyase	Alanine and Aspartate metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_00521	potential phenazine-modifying enzyme	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_02271	3-carboxy-cis,cis-muconate cycloisomerase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_02921	putative glutamine synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_02941	putative glutamine synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_04001	aspartate carbamoyltransferase catalytic subunit	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_15081	argininosuccinate synthase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_15161	adenylosuccinate lyase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_15171	adenylosuccinate lyase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_16011	putative glutamine amidotransferase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_17081	putative glutamine synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_19131	ORF_10; similar to Asparagine synthase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_19201	aromatic amino acid aminotransferase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_19521	amidophosphoribosyltransferase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_19921	NAD-dependent glutamate dehydrogenase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_24761	adenylosuccinate lyase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_32371	putative asparagine synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_32821	putative glutamine synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_36891	glutaminase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_37631	putative glutamine synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_44461	aromatic amino acid aminotransferase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_45611	bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_45821	L-aspartate oxidase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_51411	carbamoyl phosphate synthase large subunit	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_51431	carbamoyl phosphate synthase small subunit	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_53241	adenylosuccinate synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_53841	asparagine synthetase (glutamine-hydrolyzing)	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_55091	glutamine synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_56571	argininosuccinate lyase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_58241	aspartate ammonia-lyase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_59041	putative glutamine synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_59181	putative glutamine synthetase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_59451	glucosamine--fructose-6-phosphate aminotransferase	Alanine, aspartate and glutamate metabolism	00250	KEGG (InterPro)	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_11431	leucyl aminopeptidase	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14821	phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14831	alginate o-acetyltransferase AlgF	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14841	alginate o-acetyltransferase AlgJ	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14851	alginate o-acetyltransferase AlgI	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14851	alginate o-acetyltransferase AlgI	alginate biosynthesis	UPA00286	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_14861	poly(beta-D-mannuronate) lyase	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14871	alginate biosynthesis protein AlgX	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14881	alginate-c5-mannuronan-epimerase AlgG	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14891	Alginate production outer membrane protein AlgE precursor	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14891	Alginate production outer membrane protein AlgE precursor	alginate biosynthesis	UPA00286	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_14901	alginate biosynthetic protein AlgK precursor	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14911	alginate biosynthesis protein Alg44	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14921	alginate biosynthesis protein Alg8	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14931	GDP-mannose 6-dehydrogenase AlgD	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_14931	GDP-mannose 6-dehydrogenase AlgD	alginate biosynthesis	UPA00286	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_45771	serine protease MucD precursor	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_45781	positive regulator for alginate biosynthesis MucC	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_45791	negative regulator for alginate biosynthesis MucB	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_45801	anti-sigma factor MucA	Alginate biosynthesis	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
