Locus_Tag	Product	Pathway_Name	Pathway_Xref	Pathway_Database	Pathway_Version	ECO_code	ECO_term	PMID
PA14_18330	4-amino-4-deoxy-L-arabinose transferase	4-amino-4-deoxy-beta-L-arabinose-lipid A biosynthesis	UPA00037	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_03430	succinate-semialdehyde dehydrogenase I	4-aminobutanoate degradation	UPA00733	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_10640	hypothetical protein	4-hydroxyphenylacetate catabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PA14_10650	hypothetical protein	4-hydroxyphenylacetate catabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PA14_10570	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_10590	2-oxo-hepta-3-ene-1,7-dioic acid hydratase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_10610	5-carboxymethyl-2-hydroxymuconate isomerase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_10620	homoprotocatechuate 2,3-dioxygenase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_10630	5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_10640	hypothetical protein	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_10650	hypothetical protein	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_10990	4-hydroxyphenylacetate 3-monooxygenase small subunit	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_11000	4-hydroxyphenylacetate 3-monooxygenase large chain	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_39100	hypothetical protein	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_20440	phosphonate transport ATP-binding protein	5-phospho-alpha-D-ribose 1-diphosphate biosynthesis	UPA00087	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_61770	ribose-phosphate pyrophosphokinase	5-phospho-alpha-D-ribose 1-diphosphate biosynthesis	UPA00087	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_15770	hypothetical protein	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_19630	GTP cyclohydrolase I	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_42850	GTP cyclohydrolase I	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_57740	hypothetical protein	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_73050	GTP cyclohydrolase	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_51670	hypothetical protein	7-cyano-7-deazaguanine biosynthesis	UPA00391	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_51680	radical activating enzyme	7-cyano-7-deazaguanine biosynthesis	UPA00391	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_68860	glycine cleavage system protein H	99% identical to gcvH1 (PA5214) of PAO1	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PA14_00360	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_02330	ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_02340	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_02360	ABC transporter substrate-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_03650	sulfate transport protein CysA	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_03670	sulfate transport protein CysW	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_03680	sulfate transport protein CysT	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_03700	sulfate-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_03920	polyamine transport protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_03930	polyamine transport protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_03940	polyamine transport protein PotG	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_03950	polyamine transport protein PotH	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_03960	polyamine transport protein PotI	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_04080	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_04090	ABC transporter substrate-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_04220	ABC transporter substrate-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_04230	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_04240	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_04250	ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_04910	cell division ATP-binding protein FtsE	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_04920	cell division protein FtsX	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_10140	ferric enterobactin transport protein FepG	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_10160	ferric enterobactin transport protein FepD	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_10170	iron-enterobactin transporter periplasmic binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_10180	ferric enterobactin transport protein FepC	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_10340	toxin transporter	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_11530	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_12920	taurine ABC transporter periplasmic protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_12940	taurine ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_12960	taurine ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_13010	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_13580	ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_13590	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_13600	ABC transporter substrate-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_13610	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_13990	amino acid ABC transporter	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_14100	amino acid-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_14500	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_14510	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_17610	polyamine ABC transporter	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_17620	polyamine transport protein PotC	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_17630	polyamine transport protein PotB	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_17640	polyamine transport protein PotA	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_18600	ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_19500	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_19510	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_19520	ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_19540	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_19570	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_19580	aliphatic sulfonates transport ATP-binding subunit	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_20030	transport protein HasD	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_20170	NosY protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_20180	NosF protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_20300	ABC phosphonate transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_20320	phosphonate ABC transporter substrate-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_20330	phosphonate ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_20580	aliphatic amidase expression-regulating protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_21140	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_21150	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_21160	ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_21175	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_22330	glycine betaine-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_22440	ABC transporter ATP-binding protein/permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_22660	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_22670	ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_22680	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_22980	sugar ABC transporter substrate-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_22990	ABC sugar transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_23000	ABC sugar transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_23010	ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_25430	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_25440	lipoprotein releasing system, ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_25450	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_26210	histidine transport	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_26220	histidine ABC transporter, inner membrane permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_26230	histidine transport system permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_26240	periplasmic histidine-binding protein HisJ	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_26360	ABC transporter permease	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_26390	hypothetical protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_26400	ABC transporter ATP-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_29090	periplasmic spermidine/putrescine-binding protein	ABC transporters	pau02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
