Locus_Tag	Product	Pathway_Name	Pathway_Xref	Pathway_Database	Pathway_Version	ECO_code	ECO_term	PMID
PA0904	aspartate kinase alpha and beta chain	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1217	probable 2-isopropylmalate synthase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1417	probable decarboxylase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1562	aconitate hydratase 1	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1580	citrate synthase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1787	aconitate hydratase 2	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA2035	probable decarboxylase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA2413	L-2,4-diaminobutyrate:2-ketoglutarate 4-aminotransferase, PvdH	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA2623	isocitrate dehydrogenase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA2624	isocitrate dehydrogenase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA2828	probable aminotransferase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA3117	aspartate semialdehyde dehydrogenase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA3118	3-isopropylmalate dehydrogenase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA3120	3-isopropylmalate dehydratase small subunit	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA3121	3-isopropylmalate dehydratase large subunit	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA3506	probable decarboxylase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA3792	2-isopropylmalate synthase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA4180	probable acetolactate synthase large subunit	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA4402	glutamate N-acetyltransferase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA4694	ketol-acid reductoisomerase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA4695	acetolactate synthase isozyme III small subunit	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA4696	acetolactate synthase large subunit	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA5013	branched-chain amino acid transferase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA5204	N-acetylglutamate synthase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA5206	acetylornithine deacetylase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA5323	acetylglutamate kinase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA5390	probable peptidic bond hydrolase	2-Oxocarboxylic acid metabolism	pae01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1750	phospho-2-dehydro-3-deoxyheptonate aldolase	3-dehydroquinate biosynthesis I	PWY-6164	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA2943	phospho-2-dehydro-3-deoxyheptonate aldolase	3-dehydroquinate biosynthesis I	PWY-6164	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA5038	3-dehydroquinate synthase	3-dehydroquinate biosynthesis I	PWY-6164	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA1750	phospho-2-dehydro-3-deoxyheptonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA2943	phospho-2-dehydro-3-deoxyheptonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA3636	2-dehydro-3-deoxyphosphooctonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4458	conserved hypothetical protein	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA3975	phosphomethylpyrimidine kinase	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	PWY-6890	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA4973	thiamin biosynthesis protein ThiC	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	PWY-6890	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA3553	ArnC	4-amino-4-deoxy-alpha-L-arabinose undecaprenyl phosphate biosynthesis	UPA00036	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA3555	ArnD	4-amino-4-deoxy-alpha-L-arabinose undecaprenyl phosphate biosynthesis	UPA00036	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA3556	inner membrane L-Ara4N transferase ArnT	4-amino-4-deoxy-beta-L-arabinose-lipid A biosynthesis	UPA00037	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA1758	para-aminobenzoate synthase component I	4-aminobenzoate biosynthesis	PWY-6543	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA2964	4-amino-4-deoxychorismate lyase	4-aminobenzoate biosynthesis	PWY-6543	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0265	glutaric semialdehyde dehydrogenase	4-aminobutanoate degradation	UPA00733	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA0265	glutaric semialdehyde dehydrogenase	4-aminobutyrate degradation I	PWY-6535	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0266	delta-aminovalerate aminotransferase	4-aminobutyrate degradation I	PWY-6535	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0266	delta-aminovalerate aminotransferase	4-aminobutyrate degradation II	PWY-6537	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0609	anthranilate synthetase component I	4-hydroxy-2(1H)-quinolone biosynthesis	PWY-6661	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0649	anthranilate synthase component II	4-hydroxy-2(1H)-quinolone biosynthesis	PWY-6661	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0996	PqsA	4-hydroxy-2(1H)-quinolone biosynthesis	PWY-6661	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0999	3-oxoacyl-[acyl-carrier-protein] synthase III	4-hydroxy-2(1H)-quinolone biosynthesis	PWY-6661	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA1001	anthranilate synthase component I	4-hydroxy-2(1H)-quinolone biosynthesis	PWY-6661	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA1002	anthranilate synthase component II	4-hydroxy-2(1H)-quinolone biosynthesis	PWY-6661	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0247	p-hydroxybenzoate hydroxylase	4-hydroxymandelate degradation	4-HYDROXYMANDELATE-DEGRADATION-PWY	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA4901	benzoylformate decarboxylase	4-hydroxymandelate degradation	4-HYDROXYMANDELATE-DEGRADATION-PWY	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA1966	hypothetical protein	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4091	4-hydroxyphenylacetate 3-monooxygenase large chain	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4092	4-hydroxyphenylacetate 3-monooxygenase small chain	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4121	conserved hypothetical protein	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4122	conserved hypothetical protein	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4123	5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4123	5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase	4-hydroxyphenylacetate degradation	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA4124	homoprotocatechuate 2,3-dioxygenase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4124	homoprotocatechuate 2,3-dioxygenase	4-hydroxyphenylacetate degradation	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA4125	5-carboxymethyl-2-hydroxymuconate isomerase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4125	5-carboxymethyl-2-hydroxymuconate isomerase	4-hydroxyphenylacetate degradation	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA4127	2-oxo-hept-3-ene-1,7-dioate hydratase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4128	conserved hypothetical protein	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA2357	NADH-dependent FMN reductase MsuE	5,6-dimethylbenzimidazole biosynthesis	PWY-5523	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA4561	riboflavin kinase/FAD synthase	5,6-dimethylbenzimidazole biosynthesis	PWY-5523	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0944	phosphoribosylaminoimidazole synthetase	5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA0945	phosphoribosylaminoimidazole synthetase	5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA3108	amidophosphoribosyltransferase	5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA3751	phosphoribosylglycinamide formyltransferase 2	5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA3763	phosphoribosylformylglycinamidine synthase	5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA4855	phosphoribosylamine--glycine ligase	5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA3373	conserved hypothetical protein	5-phospho-alpha-D-ribose 1-diphosphate biosynthesis	UPA00087	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4670	ribose-phosphate pyrophosphokinase	5-phospho-alpha-D-ribose 1-diphosphate biosynthesis	UPA00087	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA0582	dihydroneopterin aldolase	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA4728	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147	PseudoCyc	19.5	ECO:0000250	sequence similarity evidence used in manual assertion	12867747
PA1674	GTP cyclohydrolase I precursor	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA3438	GTP cyclohydrolase I precursor	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA3762	hypothetical protein	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA4445	conserved hypothetical protein	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA5539	hypothetical protein	7,8-dihydroneopterin triphosphate biosynthesis	UPA00848	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA0975	probable radical activating enzyme	7-cyano-7-deazaguanine biosynthesis	UPA00391	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA0976	conserved hypothetical protein	7-cyano-7-deazaguanine biosynthesis	UPA00391	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA0030	CosX	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0184	probable ATP-binding component of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0185	probable permease of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0186	probable binding protein component of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0203	probable binding protein component of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0204	probable permease of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0205	probable permease of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0206	probable ATP-binding component of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0280	sulfate transport protein CysA	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0281	sulfate transport protein CysW	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0282	sulfate transport protein CysT	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0283	sulfate-binding protein precursor	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0300	polyamine transport protein	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0301	polyamine transport protein	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0302	polyamine transport protein PotG	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0303	polyamine transport protein PotH	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0304	polyamine transport protein PotI	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0313	L-cysteine transporter of ABC system YecS	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0314	L-cysteine transporter of ABC system FliY	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0323	probable binding protein component of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0324	probable permease of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0325	probable permease of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0326	probable ATP-binding component of ABC transporter	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0374	cell division protein FtsE	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0375	cell division protein FtsX	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0888	arginine/ornithine binding protein AotJ	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0889	arginine/ornithine transport protein AotQ	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0890	arginine/ornithine transport protein AotM	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA0892	arginine/ornithine transport protein AotP	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1070	branched-chain amino acid transport protein BraG	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1071	branched-chain amino acid transport protein BraF	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1072	branched-chain amino acid transport protein BraE	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1073	branched-chain amino acid transport protein BraD	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1074	branched-chain amino acid transport protein BraC	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1246	alkaline protease secretion protein AprD	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1339	AatP	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1340	AatM	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA1341	AatQ	ABC transporters	pae02010	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
